# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0001/ ",0078
,"TOTAL CIDADE: ","9,00 ",,,"1.405,19 ","2.322,00","39,48%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0004/ ",0078
PB,ARARUNA,,,,,,
"19.219 ",TINTA | EPSON/BULK INK/1L,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"10725-0 ","TINTA BULK INK EPSON E850 BLACK 1LT (CX C/ 20)-. ","1,00 ","UN ","50,00 ","23,58 ","50,00","52,84%"
,"Total : ",,,,,,
,,"1,00 ",,"50,00","23,58 ","50,00","52,84%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12146-0 ","TINTA INKBANK EPSON E850 BLACK 1LT (CX C/ 20)-. ","3,00 ","UN ","50,00 ","64,68 ","150,00","56,88%"
"12147-0 ","TINTA INKBANK EPSON E850 CYAN 1LT (CX C/ 20)-. ","1,00 ","UN ","50,00 ","21,59 ","50,00","56,82%"
"12148-0 ","TINTA INKBANK EPSON E850 MAG 1LT (CX C/ 20)-. ","1,00 ","UN ","50,00 ","21,57 ","50,00","56,86%"
"12149-0 ","TINTA INKBANK EPSON E850 YELL 1LT (CX C/ 20)-. ","2,00 ","UN ","50,00 ","43,15 ","100,00","56,85%"
,"Total : ",,,,,,
,,"7,00 ",,"50,00","151,00 ","350,00","56,86%"
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115050-0LONA UNIBANNER BRILHO F.P. 300x500 380g 1,42mt-. ",,"71,00 ","M2 ","7,80 ","312,66 ","553,80","43,54%"
"20115047-0LONA UNIBANNER BRILHO F.P. 300x500 380g 3,20mt-. ",,"70,00 ","M2 ","7,50 ","308,80 ","525,00","41,18%"
"20115044-0LONA UNIBANNER BRILHO F.P. 300x500 440g 1,42mt-. ",,"71,00 ","M2 ","8,00 ","342,55 ","568,00","39,69%"
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"80,00 ","M2 ","8,30 ","399,10 ","664,00","39,89%"
,"Total : ",,,,,,
,,"292,00 ",,"7,91","1.363,12 ","2.310,80","41,01%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"53,00 ","M2 ","5,80 ","182,88 ","307,40","40,51%"
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"63,50 ","M2 ","5,60 ","216,10 ","355,60","39,23%"
"2011045-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,06mt-. ",,"106,00 ","M2 ","4,95 ","319,87 ","524,70","39,04%"
"2011046-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,27mt-. ",,"63,50 ","M2 ","4,99 ","188,37 ","316,86","40,55%"
"2011044-0VINIL UNITRAMA ONE WAY VISION (NO2310T) PERFURADO C/ 1.06mt-. ",,"53,00 ","M2 ","11,89 ","369,02 ","630,10","41,43%"
"2011006-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.27mt-. ",,"63,50 ","M2 ","6,90 ","241,29 ","438,14","44,93%"
"2011019-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,27mt-. ",,"63,50 ","M2 ","6,70 ","277,15 ","425,45","34,86%"
,"Total : ",,,,,,
,,"466,00 ",,"6,43","1.794,67 ","2.998,25","40,14%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013111-0ACM UNIBOND AMARELO ALTO BRILHO 3mm 1.50 x 5.00mt 8821-. ",,"1,00 ","UN ","515,00 ","362,56 ","515,00","29,60%"
,"Total : ",,,,,,
,,"1,00 ",,"515,00","362,56 ","515,00","29,60%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"1,00 ","UN ","410,00 ","262,83 ","410,00","35,90%"
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"6,00 ","UN ","418,33 ","1.516,86 ","2.510,00","39,57%"
"2013163-0ACM SIGNBOND PINK ALTO BRILHO 3mm 1.22 x 5.00mt GMH200407-. ",,"1,00 ","UN ","410,00 ","259,86 ","410,00","36,62%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"2,00 ","UN ","405,00 ","528,32 ","810,00","34,78%"
"2013129-0ACM SIGNBOND VERMELHO ALTO BRILHO 3mm 1.22 x 5.00mt T802-. ",,"5,00 ","UN ","430,00 ","1.315,24 ","2.150,00","38,83%"
,"Total : ",,,,,,
,,"15,00 ",,"419,33","3.883,13 ","6.290,00","38,27%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0005/ ",0078
PB,ARARUNA,,,,,,
,2015.2012 PSAI | MAXPOLI,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017503-0CHAPA PS RES PSAI 1,00 X 2,00 MT BRANCA* 180 (2mm)-. ",,"2,00 ","UN ","95,00 ","101,37 ","190,00","46,65%"
,"Total : ",,,,,,
,,"2,00 ",,"95,00","101,37 ","190,00","46,65%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260016-0ACRILICO UNIGLASS CRISTAL 2mm c/ 1,00mt X 2,00mt NEW-. ",,"2,00 ","UN ","210,00 ","235,34 ","420,00","43,97%"
,"Total : ",,,,,,
,,"2,00 ",,"210,00","235,34 ","420,00","43,97%"
"2030.165 ",ACESSÓRIOS SIGN | DIVERSOS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"13783-0 ","VERNIZ SATURNO LACA PROTETORA BRILHANTE ECONOMIC 1L. REF.9513-GRF-. ","1,00 ","UN ","145,00 ","101,31 ","145,00","30,13%"
,"Total : ",,,,,,
,,"1,00 ",,"145,00","101,31 ","145,00","30,13%"
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015046-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 15 X 20 MM-. ",,"8,00 ","UN ","71,88 ","308,44 ","575,00","46,36%"
"2015045-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 19 X 20 MM-. ",,"1,00 ","UN ","85,00 ","47,84 ","85,00","43,72%"
,"Total : ",,,,,,
,,"9,00 ",,"73,33","356,28 ","660,00","46,02%"
,"TOTAL CIDADE: ","796,00 ",,,"8.372,36 ","13.929,05","39,89%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0006/ ",0078
PB,AREIA,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4114-0 ","CART. DE TONER COMP. COM PM 1105A/1107A 1K COM CHIP EVOLUT(CX C/ 15)-. ","6,00 ","PC ","45,00 ","131,18 ","270,00","51,41%"
"3953-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K CHMT(CX C/25)-. ","5,00 ","PC ","35,00 ","92,25 ","175,00","47,29%"
"3162-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K EVOLUT(CX C/ 20)-. ","21,00 ","PC ","35,00 ","349,53 ","735,00","52,44%"
"3042-0 ","CART. DE TONER COMP. COM PM CE505A/CF280A 2,7K CHMT(CX C/15)-. ","2,00 ","PC ","55,00 ","48,61 ","110,00","55,81%"
"3149-0 ","CART. DE TONER COMP. COM PM CF283A M125/M126/M127/M128 1,5K EVOLUT(CX C/ 12)-. ","3,00 ","PC ","35,00 ","49,93 ","105,00","52,45%"
,"Total : ",,,,,,
,,"37,00 ",,"37,70","671,50 ","1.395,00","51,86%"
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","2,00 ","PC ","25,00 ","20,12 ","50,00","59,76%"
"3943-0 ","CART. DE TONER COMP. COM BROTHER TN660/630/2340/2370 2,6K EVOLUT(CX C/ 10)-. ","3,00 ","PC ","28,00 ","43,71 ","84,00","47,96%"
,"Total : ",,,,,,
,,"5,00 ",,"26,80","63,84 ","134,00","52,36%"
"10.115 ",CARTUCHO DE TONER | SAMSUNG,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3934-0 ","CART. DE TONER COMP. COM SAMSUNG D101 ML2165 1,5K CHMT(CX C/15)-. ","1,00 ","PC ","45,00 ","22,37 ","45,00","50,29%"
"4117-0 ","CART. DE TONER COMP. COM SAMSUNG D111 M2020/2070 1K EVOLUT ATUALIZADO-. ","2,00 ","PC ","45,00 ","47,61 ","90,00","47,10%"
,"Total : ",,,,,,
,,"3,00 ",,"45,00","69,98 ","135,00","48,16%"
"10.135 ",CARTUCHO DE TONER | FOTOCONDUTOR,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3458-0 ",KIT FOTOCONDUTOR COMP. COM BROTHER DR1060/1000/1010/1020/1030 10K EVOLUT (CX C/20)-.,"1,00 ","PC ","35,00 ","16,03 ","35,00","54,20%"
,"Total : ",,,,,,
,,"1,00 ",,"35,00","16,03 ","35,00","54,21%"
"12.215 ",TONER | ASTON,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"10996-0 ","TONER ASTON P/USO EM PM AT220SG (435/436/285/2016/283/278/7553) 1KG BAG(CX C/20)-. ","4,00 ","KG ","75,00 ","174,10 ","300,00","41,97%"
,"Total : ",,,,,,
,,"4,00 ",,"75,00","174,10 ","300,00","41,97%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12146-0 ","TINTA INKBANK EPSON E850 BLACK 1LT (CX C/ 20)-. ","10,00 ","UN ","50,00 ","215,61 ","500,00","56,88%"
"12149-0 ","TINTA INKBANK EPSON E850 YELL 1LT (CX C/ 20)-. ","2,00 ","UN ","50,00 ","43,15 ","100,00","56,85%"
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","2,00 ","UN ","45,00 ","35,22 ","90,00","60,87%"
"12192-0 ","TINTA INKBANK UNIVERSAL ET365 CYAN 1L (CX C/ 20)-. ","3,00 ","UN ","45,00 ","54,00 ","135,00","60,00%"
"12184-0 ","TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-. ","3,00 ","UN ","45,00 ","53,76 ","135,00","60,18%"
"12186-0 ","TINTA INKBANK UNIVERSAL ET365 YELLOW 1L (CX C/ 20)-. ","3,00 ","UN ","45,00 ","53,90 ","135,00","60,07%"
,"Total : ",,,,,,
,,"23,00 ",,"47,61","455,64 ","1.095,00","58,39%"
"20.165 ",ACESSÓRIOS JATO DE TINTA | DIVERSOS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0007/ ",0078
PB,AREIA,,,,,,
"20.165 ",ACESSÓRIOS JATO DE TINTA | DIVERSOS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"15001-0 ","CLIP P/ CARTUCHO SERIE 3000/5000 PRETO 1X100 (CX C/ 30)-. ","3,00 ","PCT ","35,00 ","51,76 ","105,00","50,70%"
,"Total : ",,,,,,
,,"3,00 ",,"35,00","51,76 ","105,00","50,71%"
,"TOTAL CIDADE: ","76,00 ",,,"1.502,84 ","3.199,00","53,02%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0008/ ",0078
PB,BANANEIRAS,,,,,,
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"106,00 ","M2 ","5,80 ","365,76 ","614,80","40,51%"
"2011115-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,06mt-. ",,"53,00 ","M2 ","5,80 ","178,39 ","307,40","41,97%"
"2011073-0VINIL UNITRAMA INFLEX UT80GR POLIMERICO BRILHO C/ 1,06mt (IV2000)-. ",,"53,00 ","M2 ","12,22 ","351,70 ","647,50","45,68%"
"2011023-0VINIL UNITRAMA INFLEX UT80GR POLIMERICO CC C/ 1,37mt (IV2200)-. ",,"68,50 ","M2 ","12,28 ","497,52 ","841,25","40,86%"
,"Total : ",,,,,,
,,"280,50 ",,"8,60","1.393,37 ","2.410,95","42,21%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"2,00 ","UN ","400,00 ","509,13 ","800,00","36,36%"
,"Total : ",,,,,,
,,"2,00 ",,"400,00","509,13 ","800,00","36,36%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"2,00 ","UN ","176,00 ","211,05 ","352,00","40,04%"
,"Total : ",,,,,,
,,"2,00 ",,"176,00","211,05 ","352,00","40,04%"
,"TOTAL CIDADE: ","284,50 ",,,"2.113,55 ","3.562,95","40,68%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0009/ ",0078
PB,BARRA DE SANTA ROSA,,,,,,
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013065-0ACM UNIBOND AZUL ESCURO ALTO BRILHO 3mm 1.50 x 5.00mt T808-. ",,"1,00 ","UN ","575,00 ","363,53 ","575,00","36,78%"
"2013085-0ACM UNIBOND PRETO ALTO BRILHO 3mm 1.50 x 5.00mt T804-. ",,"2,00 ","UN ","573,00 ","723,43 ","1.146,00","36,87%"
,"Total : ",,,,,,
,,"3,00 ",,"573,67","1.086,96 ","1.721,00","36,84%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260017-0ACRILICO UNIGLASS CRISTAL 3mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","284,00 ","170,38 ","284,00","40,01%"
,"Total : ",,,,,,
,,"1,00 ",,"284,00","170,38 ","284,00","40,01%"
,"TOTAL CIDADE: ","4,00 ",,,"1.257,33 ","2.005,00","37,29%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0010/ ",0078
PB,BAYEUX,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4136-0 ","CART. DE TONER COMP. COM PM 103A W1103A EVOLUT 2.5k-. ","2,00 ","PC ","28,00 ","19,96 ","56,00","64,36%"
"4114-0 ","CART. DE TONER COMP. COM PM 1105A/1107A 1K COM CHIP EVOLUT(CX C/ 15)-. ","3,00 ","PC ","55,00 ","65,59 ","165,00","60,25%"
"3953-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K CHMT(CX C/25)-. ","5,00 ","PC ","25,90 ","92,25 ","129,50","28,76%"
"3076-0 ","CART. DE TONER COMP. COM PM CF217A/M130/M102 1,6K CHMT(CX C/25)-. ","2,00 ","PC ","55,00 ","32,62 ","110,00","70,35%"
"3286-0 ","CART. DE TONER COMP. COM PM CF258X S/ CHIP EVOLUT 10K (CX C/ 08)-. ","2,00 ","PC ","90,00 ","75,29 ","180,00","58,17%"
,"Total : ",,,,,,
,,"14,00 ",,"45,75","285,71 ","640,50","55,39%"
"10.135 ",CARTUCHO DE TONER | FOTOCONDUTOR,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3663-0 ","KIT FOTOCONDUTOR COMP. COM PM DR219A 12K EVOLUT(CX C/ 15)-. ","3,00 ","PC ","45,00 ","58,10 ","135,00","56,96%"
,"Total : ",,,,,,
,,"3,00 ",,"45,00","58,10 ","135,00","56,96%"
"19.220 ",TINTA | EPSON/BULK INK/100ML,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"10751-0 ","TINTA BULK INK SUBLIMATICA RZ290 BK 100ML (CX C/ 100)-. ","1,00 ","UN ","20,00 ","10,35 ","20,00","48,25%"
"10752-0 ","TINTA BULK INK SUBLIMATICA RZ290 CYAN 100ML (CX C/ 100)-. ","2,00 ","UN ","20,00 ","18,84 ","40,00","52,90%"
"10753-0 ","TINTA BULK INK SUBLIMATICA RZ290 MAGENTA 100ML (CX C/ 100)-. ","2,00 ","UN ","20,00 ","19,17 ","40,00","52,08%"
"10754-0 ","TINTA BULK INK SUBLIMATICA RZ290 YELLOW 100ML (CX C/ 100)-. ","2,00 ","UN ","20,00 ","18,77 ","40,00","53,08%"
,"Total : ",,,,,,
,,"7,00 ",,"20,00","67,13 ","140,00","52,05%"
"19.235 ",TINTA | A.T.INKS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12110-0 ","TINTA A.T.INKS DX ECO-SOL CYAN 500ML (GRF)-. ","4,00 ","UN ","195,00 ","503,98 ","780,00","35,39%"
"12111-0 ","TINTA A.T.INKS DX ECO-SOL MAGENTA 500ML (GRF)-. ","5,00 ","UN ","195,00 ","629,98 ","975,00","35,39%"
"12112-0 ","TINTA A.T.INKS DX ECO-SOL YELLOW 500ML (GRF)-. ","2,00 ","UN ","195,00 ","236,27 ","390,00","39,42%"
,"Total : ",,,,,,
,,"11,00 ",,"195,00","1.370,23 ","2.145,00","36,12%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0011/ ",0078
PB,BAYEUX,,,,,,
"19.236 ",TINTA | INKBANK,,,,,,
